sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing
1.0,1.0,7,7.380498421083539,1.321489137753775,1.461727453764046,0.213,592.8,190,5186.2,0.8320000000000001,1.07,0.139,4.38,302.368758,52.2767265,4.199707077877927,8.09,6.639,7.93339,1,0,0,0,1,1,0,1,1,0,0,0
1.0,1.0,2,7.159007963697958,4.532599493153256,2.879984665009678,0.3565999999999999,1500.0,2,7826.0000000000055,1.77,1.96,0.07999999999999999,4.074300000000001,201.1501727,-51.5045384,4.6993433560053415,7.01,6.771,6.98273,0,1,0,1,0,0,0,1,1,0,0,0
1.0,1.0,7,6.928283133433598,1.1314021114911006,2.447531769793181,0.251,1018.1119999999999,190,6117.0,1.27,1.19,0.12,4.28,297.3915731,-37.7809929,3.8480027499677147,7.22,5.876,7.07508,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.6463011951844504,0.05021771616061742,2.6232182655855123,0.0,1230.0,190,5430.0,1.13,1.04,0.05,4.35,116.7163868,39.0944695,5.6247789490681,12.198,10.345,11.9498,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,8,0.9356125769464148,0.02811115296103118,2.7731510640959574,0.012,2043.0,42,5940.0,1.43,1.29,0.14,4.3,327.6656953,10.4629385,6.26213460737271,12.685,11.074,12.5227,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,0.5771982588079475,0.015578029963318415,2.674631291556765,0.0,1332.0,126,4600.0,0.7,0.7,-0.02,4.59,91.8722801,-25.5948963,3.8922082055431666,14.506,11.728,14.2604,0,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,3,5.182391606723101,0.9321640810304452,2.701887223850495,0.154,1208.9119999999998,190,5544.0,1.3299999999999998,0.32,-0.09840000000000002,4.5120000000000005,269.388125,-30.5039389,8.846640813100485,16.676,15.01963999999999,10.822476,1,1,0,1,1,1,0,1,1,0,0,0
1.0,1.0,8,1.230752213650399,0.03394721729965754,2.5900171341906173,0.36718,1337.0,81,5420.0,0.91,0.94,-0.003,4.49,5.016937917,-11.9382645,5.90129911038823,13.096,11.341,12.8964,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,3,5.182391606723102,1.0296194171811583,2.4503304013914105,0.154,1011.7119999999999,190,5544.0,1.33,0.2,-0.09840000000000002,4.5120000000000005,269.048889,-30.5283604,8.665785595466064,16.676,15.01963999999999,10.822476,1,1,0,1,1,1,0,1,1,0,0,0
1.0,2.0,7,2.2701755311959997,0.0760346862759976,1.772604716891556,0.12,1157.0,190,5065.0,0.79,0.88,0.182,4.58,199.1962036,49.8610591,4.931390046144953,11.758,9.701,11.6,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,8,1.1646309638370351,0.15932542091213805,2.88625217293517,0.0,1005.8,190,6389.0,2.0,1.56,0.26,4.07,292.24719,47.9695429,5.835041704539611,10.481,9.334,10.3654,0,0,1,0,0,0,0,0,0,0,0,0
1.0,3.0,7,2.5281337497221,1.0756505407121442,2.204423617696888,0.09,663.2,150,3522.0,0.46,0.46,-0.01,4.78,146.121464,-45.7790165,2.343019492409022,10.153,5.78,9.15159,1,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.5559303789538335,0.04560414180501583,2.6480170709867306,0.024,1192.0,190,5570.0,0.92,0.97,0.14,4.5,227.6586754,-71.3616316,5.072977655439326,11.08,9.448,11.0813,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,8,4.450696453985097,0.8174223424620999,1.3862943611198906,0.042,612.712,190,7500.0,1.57,1.59,0.05,4.22,299.8211502,43.8142793,6.392963466946267,11.632,10.851,11.6145,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,3,6.439514059863164,0.7701082216960736,2.6846842692805213,0.31815999999999994,1212.512,190,5254.8,1.312,0.74,-0.046,4.366,268.8529167,-21.8955389,8.39185670010494,15.3,13.401111999999992,10.311207999999999,1,1,0,1,1,1,0,1,1,0,0,0
1.0,1.0,3,6.609433931338261,1.1908875647772805,2.701887223850495,0.22400000000000003,1188.9119999999998,190,5536.4,1.284,0.37,0.0416,4.378,270.6835833,-28.0605,8.651898894268529,17.02,15.01963999999999,10.822476,1,1,0,1,1,1,0,1,1,0,0,0
1.0,2.0,7,5.94182777466688,0.8960880245566356,2.01803873077328,0.15,923.3119999999999,109,4137.0,38.409499999999994,2.6,-0.5798,1.6624999999999999,154.186782,19.8912626,7.339998628122906,9.743,6.42,9.22684,1,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,8,2.0928436311262604,0.06952606264861023,1.1518370499054076,0.0,886.0,190,5634.0,0.92,0.99,0.079,4.51,117.4793699,27.3631342,3.152885583828355,6.92035,5.258,6.71831,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,3,5.2590133683401294,0.5877866649021191,2.4503304013914105,0.154,1294.9119999999998,190,5544.0,1.33,0.1,-0.09840000000000002,4.5120000000000005,268.0295,-31.6905833,8.019941687677365,16.4732,14.586911999999993,10.822476,1,1,0,1,1,1,0,1,1,0,0,0
1.0,1.0,8,1.9436138001775483,0.06503839617922222,2.478972410299809,0.0,1352.0,190,5611.0,1.69,1.13,0.241,4.04,288.4656683,66.3479375,6.226091906363478,12.3,10.717,12.2213,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,0.9030519932097534,0.016994767375861832,0.8281150409704297,0.00086,696.0,190,3317.0,0.32,0.31,-0.15,4.91,191.981531,9.7494181,2.2054418341264035,11.39,6.362,10.094,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,3,6.462185429987281,0.8671004876833833,2.4503304013914105,0.31815999999999994,1011.7119999999999,190,5528.0,1.284,0.32,0.068,4.354,265.4115,-24.3739389,8.866581653303996,16.8172,15.01963999999999,9.770026000000001,1,1,0,1,1,1,0,1,1,0,0,0
2.0,3.0,7,9.226276985863501,2.3805641343106343,2.5242283715999014,0.277,1116.6,190,5439.2,1.046,1.21,-0.03800000000000001,4.464,5.016937917,-49.0753625,3.3026763860345105,5.7,4.474,5.58442,1,0,0,0,1,1,0,1,1,0,0,0
1.0,2.0,8,0.8848471224990819,0.02262217803627965,0.8878912573524571,0.093,1328.0,190,4916.0,0.72,0.79,0.156,3.44,169.4490102,3.8665038,4.707266379539107,11.726,9.454001,11.527,0,0,0,0,0,0,0,1,1,0,0,0
1.0,2.0,7,2.553203723708403,0.09294374564273797,2.2832149034640215,0.36,863.2,81,5494.0,0.806,0.88,0.04,4.41,46.9090081,-72.3219221,3.7572761479222865,8.39,6.647,8.19184,1,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,8,1.4155132997891107,0.37268262866559687,2.68614536571416,0.0,1224.6,190,5700.0,1.14,1.78,0.01,4.49,214.6830109,-20.2754374,5.273686502051213,11.288,9.589,11.1247,0,0,1,0,0,0,0,0,0,0,0,0
1.0,3.0,8,3.3008612596094924,0.23431447231893535,1.33500106673234,0.040582,916.8,190,5608.4,1.25,1.0,0.12799999999999997,4.24,285.4195845,39.7061009,6.86470058551019,13.965,12.393,13.7606,0,0,1,1,1,0,0,1,0,0,0,0
